 nom specialite niveau statut "dernier diplome obtenu" "note median" "correcteur median" "note final" "correcteur final" "note totale" resultat
71 Etu72 GB 2 UTC "AUTRE DIPLOME SUPERIEUR" 9.0 Cor8 9.5 Cor5 9.3 Fx
72 Etu73 GB 2 UTC BAC 12.0 Cor1 12.5 Cor1 12.3 D
73 Etu74 GSM 4 UTC BAC 12.0 Cor2 17.5 Cor3 15.3 B
74 Etu75 GM 2 UTC DUT 4.5 Cor4    ABS
75 Etu76 GM 4 UTC CPGE 8.0 Cor7 2.0 Cor6 4.4 F
76 Etu77 GSM 4 Echange  10.0 Cor6 7.5 Cor4 8.5 Fx
77 Etu78 GI 2 UTC DUT 7.0 Cor5 6.0 Cor7 6.4 F
78 Etu79 GB 1 UTC BAC 10.0 Cor4 15.0 Cor5 13.0 C
79 Etu80 GB 2 UTC LICENCE 10.5 Cor4 19.5 Cor6 15.9 B
80 Etu81 GP 6 UTC "ETRANGER SUPERIEUR" 12.5 Cor2 13.5 Cor3 13.1 C
81 Etu82 GB 2 UTC BAC 5.5 Cor2 9.0 Cor3 7.6 F
82 Etu83 GSU 1 UTC BAC 10.0 Cor7 14.5 Cor6 12.7 D
83 Etu84 GB 1 UTC BAC      ABS
84 Etu85 GB 2 UTC BAC 11.5 Cor4 16.0 Cor5 14.2 C
85 Etu86 GI 2 UTC BAC 7.5 Cor7 10.5 Cor8 9.3 Fx
86 Etu87 GI 2 UTC BAC 13.0 Cor4 12.5 Cor5 12.7 D
87 Etu88 GSU 2 UTC DEUG 15.5 Cor2 9.5 Cor3 11.9 D
88 Etu89 GSM 4 UTC "ETRANGER SECONDAIRE" 5.5 Cor6 8.0 Cor4 7.0 F
89 Etu90 GSU 2 UTC CPGE 4.5 Cor6 11.0 Cor4 8.4 Fx
90 Etu91 GB 2 UTC BAC 14.5 Cor1 17.0 Cor1 16.0 B
91 Etu92 GM 4 UTC DUT 18.0 Cor6 18.0 Cor4 18.0 A
92 Etu93 GSU 1 UTC BAC 11.5 Cor7 8.5 Cor8 9.7 Fx
93 Etu94 GM 3 UTC "ETRANGER SUPERIEUR" 12.5 Cor7 15.5 Cor6 14.3 C
94 Etu95 GSM 2 UTC BAC 11.5 Cor2 17.0 Cor3 14.8 C
95 Etu96 GB 4 UTC DUT 13.0 Cor5 10.5 Cor7 11.5 D
96 Etu97 GM 2 UTC BAC 10.0 Cor5 9.5 Cor7 9.7 Fx
97 Etu98 GM 2 UTC DUT 9.5 Cor4 3.0 Cor5 5.6 F
98 Etu99 GI 2 UTC BAC 15.5 Cor8 13.5 Cor5 14.3 C
99 Etu100 TC 5 UTC "ETRANGER SECONDAIRE" 10.0 Cor6 11.5 Cor4 10.9 E
100 Etu101 GSU 2 UTC BAC 6.5 Cor7 17.0 Cor8 12.8 D
101 Etu102 GSM 2 UTC DUT 12.0 Cor1 10.5 Cor1 11.1 E
102 Etu103 GB 2 UTC DUT 17.5 Cor7 10.0 Cor6 13.0 C
103 Etu104 GM 2 UTC DUT 9.5 Cor5 12.5 Cor7 11.3 E
104 Etu105 GP 4 UTC CPGE 14.0 Cor4 6.0 Cor5 9.2 F
105 Etu106 GSM 2 UTC BAC 14.5 Cor4 13.5 Cor5 13.9 C
106 Etu107 GSU 1 UTC BAC 14.5 Cor4 15.5 Cor6 15.1 B
107 Etu108 GB 2 UTC CPGE 12.0 Cor4 8.5 Cor6 9.9 Fx
108 Etu109 GI 2 UTC BTS 6.0 Cor8 8.0 Cor5 7.2 F
109 Etu110 GM 4 UTC DUT 8.0 Cor5 16.5 Cor7 13.1 C
110 Etu111 GI 2 UTC BAC 9.5 Cor8 13.5 Cor5 11.9 D
111 Etu112 GSM 2 UTC BAC 16.0 Cor2 17.5 Cor3 16.9 A
112 Etu113 GSM 4 UTC CPGE 9.5 Cor7 5.0 Cor6 6.8 F
113 Etu114 GM 4 UTC CPGE 13.5 Cor6 18.5 Cor4 16.5 B
114 Etu115 GB 2 UTC LICENCE 17.5 Cor6 14.0 Cor4 15.4 B
115 Etu116 GSM 2 UTC DUT 4.0 Cor8 10.0 Cor5 7.6 F
116 Etu117 GB 2 UTC DEUG 10.0 Cor7 15.5 Cor6 13.3 C
117 Etu118 GB 2 UTC BAC 15.5 Cor6 12.0 Cor4 13.4 C
118 Etu119 GM 2 UTC DUT 6.0 Cor8 17.0 Cor5 12.6 D
119 Etu120 GP 2 UTC DUT 4.0 Cor6 9.5 Cor4 7.3 F
120 Etu121 GB 4 UTC CPGE 9.5 Cor1 7.5 Cor1 8.3 Fx
121 Etu122 GSU 4 UTC BAC 7.0 Cor5 11.0 Cor7 9.4 Fx
122 Etu123 GM 2 UTC DUT 14.0 Cor5 15.0 Cor7 14.6 C
123 Etu124 TC 6 UTC BAC 11.5 Cor4    ABS
124 Etu125 GSM 2 UTC DUT 10.5 Cor2 12.5 Cor3 11.7 D
125 Etu126 GSM 2 UTC DUT 5.0 Cor6 14.5 Cor4 10.7 E
126 Etu127 GSM 2 UTC DUT 4.0 Cor4 8.0 Cor5 6.4 F
127 Etu128 GB 2 UTC DUT 8.5 Cor2 13.0 Cor3 11.2 E
128 Etu129 TC 5 UTC "ETRANGER SECONDAIRE"      ABS
129 Etu130 GSM 2 UTC BAC 15.5 Cor2 16.0 Cor3 15.8 B
130 Etu131 GSU 1 UTC BAC 15.5 Cor2 7.5 Cor3 10.7 E
131 Etu132 GB 2 UTC DUT 16.5 Cor7 17.5 Cor8 17.1 A
132 Etu133 GI 1 UTC "AUTRE 1ER CYCLE" 13.5 Cor8 13.0 Cor5 13.2 C
133 Etu134 GSM 6 UTC BAC 11.0 Cor6 17.0 Cor4 14.6 C
134 Etu135 GM 4 UTC CPGE 7.5 Cor2 12.5 Cor3 10.5 E
135 Etu136 GB 2 UTC "AUTRE 1ER CYCLE" 3.5 Cor8 8.5 Cor5 6.5 F
136 Etu137 GM 2 UTC BAC 12.0 Cor4 15.5 Cor6 14.1 C
137 Etu138 GSM 2 UTC CPGE 8.5 Cor2 11.5 Cor3 10.3 E
138 Etu139 GI 1 UTC "ETRANGER SECONDAIRE" 17.0 Cor7 18.0 Cor6 17.6 A
139 Etu140 GB 2 UTC "AUTRE 1ER CYCLE" 16.0 Cor1 13.5 Cor1 14.5 C
140 Etu141 ISS 2 UTC "ETRANGER SUPERIEUR" 8.0 Cor7 4.0 Cor8 5.6 F
141 Etu142 GSU 2 UTC CPGE 10.5 Cor2 6.0 Cor3 7.8 F
142 Etu143 GSM 2 UTC LICENCE 8.5 Cor4 7.0 Cor6 7.6 F
143 Etu144 GI 1 UTC BAC 16.5 Cor5 10.0 Cor7 12.6 D
144 Etu145 GB 3 UTC "ETRANGER SUPERIEUR" 9.5 Cor4 10.0 Cor6 9.8 Fx
145 Etu146 GI 5 Echange       ABS
146 Etu147 GSU 3 UTC BAC 6.0 Cor8 13.0 Cor5 10.2 E
147 Etu148 GM 2 UTC LICENCE 13.0 Cor8 16.0 Cor5 14.8 C
148 Etu149 GM 4 UTC DUT 7.5 Cor2 11.5 Cor3 9.9 Fx
149 Etu150 GM 2 UTC BAC 14.0 Cor4 13.0 Cor6 13.4 C
150 Etu151 GM 2 UTC BAC 18.5 Cor8 16.0 Cor5 17.0 A
151 Etu152 GSU 1 UTC BAC 11.0 Cor1 15.5 Cor1 13.7 C
152 Etu153 GSU 1 UTC BAC 11.0 Cor8 18.0 Cor5 15.2 B
153 Etu154 TC 4 UTC BAC 19.5 Cor6 17.0 Cor4 18.0 A
154 Etu155 GB 2 UTC "AUTRE DIPLOME SUPERIEUR" 5.0 Cor4    ABS
155 Etu156 GM 1 UTC "ETRANGER SUPERIEUR" 13.5 Cor2 13.5 Cor3 13.5 C
156 Etu157 GSU 2 UTC CPGE 9.0 Cor2 8.0 Cor3 8.4 Fx
157 Etu158 GI 2 UTC DUT 7.5 Cor4 11.0 Cor5 9.6 Fx
158 Etu159 GM 2 UTC DUT 12.0 Cor2 15.0 Cor3 13.8 C
159 Etu160 GM 6 UTC "AUTRE 1ER CYCLE" 14.0 Cor5 7.5 Cor7 10.1 E
160 Etu161 HuTech 6 UTC BAC 4.0 Cor1 0.0 Cor1 1.6 F
161 Etu162 GB 4 UTC DUT 10.5 Cor4 14.5 Cor5 12.9 D
162 Etu163 GB 2 UTC DEUG 6.0 Cor4 4.5 Cor5 5.1 F
163 Etu164 GSM 2 UTC DUT 9.0 Cor5 10.5 Cor7 9.9 Fx
164 Etu165 GSM 2 UTC DUT 8.0 Cor2 16.0 Cor3 12.8 D
165 Etu166 GB 4 UTC LICENCE 15.5 Cor2 15.0 Cor3 15.2 B
166 Etu167 GP 6 UTC "ETRANGER SUPERIEUR" 10.5 Cor6 9.5 Cor7 9.9 Fx
167 Etu168 TC 4 UTC BAC 16.0 Cor7 17.5 Cor8 16.9 A
168 Etu169 GM 2 UTC DUT 9.0 Cor4 9.5 Cor6 9.3 Fx
169 Etu170 GSM 2 UTC CPGE 4.0 Cor8    ABS
170 Etu171 GSM 2 UTC DUT 3.5 Cor7 4.0 Cor8 3.8 F
171 Etu172 GI 4 Echange  0.0 Cor6 3.0 Cor4 1.8 F
172 Etu173 GI 2 UTC CPGE 18.0 Cor2 13.0 Cor3 15.0 B
173 Etu174 GM 2 UTC BTS 16.0 Cor4 16.5 Cor5 16.3 B
174 Etu175 TC 5 UTC BAC 7.0 Cor4 14.0 Cor5 11.2 E
175 Etu176 GM 2 UTC CPGE 6.5 Cor5 18.0 Cor7 13.4 C
176 Etu177 GSM 4 UTC CPGE 10.5 Cor1 9.5 Cor1 9.9 Fx
177 Etu178 GP 2 UTC DUT 5.5 Cor7 8.5 Cor6 7.3 F
178 Etu179 GSU 1 UTC BAC 13.0 Cor1 15.5 Cor1 14.5 C
179 Etu180 GSM 4 UTC CPGE 5.0 Cor7 5.5 Cor6 5.3 F
180 Etu181 GSU 2 UTC BAC 15.5 Cor1 17.0 Cor1 16.4 A
181 Etu182 GSM 2 UTC DUT 8.0 Cor5 11.0 Cor8 9.8 Fx
182 Etu183 TC 5 UTC BAC 10.0 Cor4 12.0 Cor5 11.2 E
183 Etu184 GSU 2 UTC CPGE 12.0 Cor4 12.5 Cor6 12.3 D
184 Etu185 GSU 4 Echange  1.5 Cor5 0.5 Cor7 0.9 F
185 Etu186 GSM 2 UTC CPGE 3.5 Cor7 2.0 Cor6 2.6 F
186 Etu187 GB 2 UTC BAC 16.5 Cor8 14.0 Cor5 15.0 B
187 Etu188 GB 1 UTC BAC 18.0 Cor2 17.5 Cor3 17.7 A
188 Etu189 GI 1 UTC BAC 10.0 Cor1 10.5 Cor1 10.3 E
189 Etu190 GM 2 UTC DUT 13.0 Cor5 17.0 Cor7 15.4 B
190 Etu191 GB 1 UTC BAC 15.5 Cor2 11.0 Cor3 12.8 D
191 Etu192 GSU 2 UTC BAC 7.0 Cor4 13.5 Cor6 10.9 E
192 Etu193 GB 2 UTC DUT 19.5 Cor5 13.0 Cor7 15.6 B
193 Etu194 GSU 1 UTC BAC 13.0 Cor7 15.0 Cor8 14.2 C
194 Etu195 TC 5 UTC BAC 15.0 Cor2 9.0 Cor3 11.4 E
195 Etu196 GB 1 UTC BAC 7.5 Cor4    ABS
196 Etu197 GSU 2 UTC BAC 10.0 Cor5 15.5 Cor7 13.3 C
197 Etu198 GM 2 UTC DUT 10.5 Cor2 12.5 Cor3 11.7 D
198 Etu199 GSM 2 UTC BAC 16.0 Cor6 14.5 Cor4 15.1 B
199 Etu200 GM 4 UTC DUT 8.0 Cor4 13.5 Cor5 11.3 E
200 Etu201 GSU 4 UTC CPGE 11.5 Cor6 15.5 Cor4 13.9 C
201 Etu202 GM 1 UTC BAC 14.0 Cor1 16.5 Cor1 15.5 B
202 Etu203 GSM 4 UTC DUT 7.5 Cor7 4.5 Cor8 5.7 F
203 Etu204 ISS 2 UTC "ETRANGER SUPERIEUR" 11.5 Cor6 15.5 Cor4 13.9 C
204 Etu205 GSM 2 UTC DUT 11.0 Cor4 17.5 Cor5 14.9 C
205 Etu206 GB 2 UTC CPGE 15.0 Cor5 8.5 Cor7 11.1 E
206 Etu207 GM 2 UTC DUT 12.0 Cor7 18.0 Cor6 15.6 B
207 Etu208 GB 2 UTC DUT 9.0 Cor6 12.0 Cor4 10.8 E
208 Etu209 GSM 4 UTC DUT 6.5 Cor6 15.5 Cor4 11.9 D
209 Etu210 GSM 2 UTC DUT 7.0 Cor5 7.5 Cor7 7.3 F
210 Etu211 GP 2 UTC BAC 11.0 Cor7 10.0 Cor8 10.4 E
211 Etu212 GM 2 UTC INGENIEUR 10.0 Cor8 14.5 Cor5 12.7 D
212 Etu213 GI 2 UTC "AUTRE DIPLOME SUPERIEUR" 8.5 Cor6 18.0 Cor4 14.2 C
213 Etu214 GI 2 UTC DUT 11.5 Cor4 16.5 Cor6 14.5 C
214 Etu215 GI 2 UTC BAC 9.0 Cor5 14.0 Cor7 12.0 D
215 Etu216 GB 1 UTC BAC 16.0 Cor7 12.5 Cor6 13.9 C
216 Etu217 GSU 2 UTC CPGE 16.0 Cor2 8.0 Cor3 11.2 E
217 Etu218 GSU 2 UTC BAC 13.0 Cor5 15.0 Cor7 14.2 C
218 Etu219 GSM 2 UTC LICENCE 8.5 Cor7 16.5 Cor8 13.3 C
219 Etu220 GP 2 UTC BAC 14.5 Cor8 15.0 Cor5 14.8 C
220 Etu221 GI 1 UTC BAC 15.5 Cor1 9.5 Cor1 11.9 D
221 Etu222 GB 4 UTC DUT 7.5 Cor8 8.0 Cor5 7.8 F
222 Etu223 TC 4 UTC BAC 14.5 Cor7 19.5 Cor6 17.5 A
223 Etu224 GSM 2 UTC CPGE 18.5 Cor6 8.0 Cor4 12.2 D
224 Etu225 GB 2 UTC DUT 10.5 Cor1 15.0 Cor1 13.2 C
225 Etu226 GSM 2 UTC BAC 17.0 Cor7 14.0 Cor8 15.2 B
226 Etu227 GSU 4 UTC BAC 13.5 Cor7 16.0 Cor8 15.0 B
227 Etu228 GI 1 UTC BAC 7.5 Cor2 9.0 Cor3 8.4 Fx
228 Etu229 GSM 2 UTC DUT 10.0 Cor7 8.0 Cor8 8.8 Fx
229 Etu230 GB 1 UTC "ETRANGER SECONDAIRE" 13.0 Cor2 16.0 Cor3 14.8 C
230 Etu231 GSU 2 UTC CPGE 15.5 Cor2 13.5 Cor3 14.3 C
231 Etu232 GI 2 UTC DUT 9.5 Cor7 18.5 Cor6 14.9 C
232 Etu233 GM 6 UTC DUT 5.0 Cor7 7.0 Cor8 6.2 F
233 Etu234 GM 2 UTC CPGE 15.5 Cor5 9.0 Cor7 11.6 D
234 Etu235 GI 1 UTC BAC 19.0 Cor6 17.5 Cor4 18.1 A
235 Etu236 GM 4 UTC DUT 8.0 Cor6 16.0 Cor4 12.8 D
236 Etu237 GM 2 UTC DUT 19.5 Cor5 12.0 Cor7 15.0 B
237 Etu238 GSU 2 UTC DUT 9.0 Cor5 13.0 Cor7 11.4 E
238 Etu239 GSM 4 UTC CPGE 7.0 Cor2 4.5 Cor3 5.5 F
239 Etu240 GSM 4 UTC DUT 9.0 Cor8 15.0 Cor5 12.6 D
240 Etu241 GSU 4 UTC BAC 5.0 Cor4 11.5 Cor5 8.9 Fx
241 Etu242 GM 2 UTC BAC 17.5 Cor4 19.0 Cor6 18.4 A
242 Etu243 GB 4 UTC DUT 10.5 Cor5 8.5 Cor7 9.3 Fx
243 Etu244 GSU 2 UTC BAC 13.5 Cor4 7.0 Cor5 9.6 Fx
244 Etu245 GB 2 UTC BTS 3.0 Cor5 4.0 Cor7 3.6 F
245 Etu246 GSM 2 UTC DUT 5.5 Cor2 13.5 Cor3 10.3 E
246 Etu247 GM 2 UTC DUT 16.0 Cor2 13.5 Cor3 14.5 C
247 Etu248 GB 2 UTC CPGE 8.5 Cor5 7.0 Cor7 7.6 F
248 Etu249 GP 6 UTC DUT 11.5 Cor4 18.5 Cor6 15.7 B
249 Etu250 GI 4 UTC BAC 11.0 Cor5 18.5 Cor7 15.5 B
250 Etu251 GI 1 UTC "AUTRE DIPLOME SUPERIEUR" 11.0 Cor6 13.0 Cor4 12.2 D
251 Etu252 GM 2 UTC DUT 10.0 Cor6 13.5 Cor4 12.1 D
252 Etu253 GM 4 Echange  7.5 Cor2 4.0 Cor3 5.4 F
253 Etu254 GM 2 UTC CPGE 11.0 Cor5 18.0 Cor7 15.2 B
254 Etu255 GB 4 UTC BTS 11.5 Cor6 15.5 Cor4 13.9 C
255 Etu256 GSM 4 UTC DUT 12.0 Cor4 4.5 Cor1 7.5 F
256 Etu257 GP 4 UTC BAC 6.0 Cor4 4.0 Cor5 4.8 F
257 Etu258 GM 2 UTC DUT 9.5 Cor7 16.0 Cor6 13.4 C
258 Etu259 GM 2 UTC DUT 8.5 Cor2 6.5 Cor3 7.3 F
259 Etu260 GB 2 UTC LICENCE 16.5 Cor5 19.0 Cor7 18.0 A
260 Etu261 GM 2 UTC "AUTRE 2E CYCLE" 4.5 Cor7 4.5 Cor8 4.5 F
261 Etu262 GP 4 UTC CPGE 16.0 Cor6 6.0 Cor4 10.0 F
262 Etu263 GB 2 UTC DUT 14.0 Cor1 15.5 Cor1 14.9 C
263 Etu264 GSM 6 UTC DUT 4.0 Cor5 4.0 Cor7 4.0 F
264 Etu265 GP 2 UTC BAC 10.5 Cor6 17.0 Cor4 14.4 C
265 Etu266 GB 4 UTC DUT 11.0 Cor5 9.5 Cor8 10.1 E
266 Etu267 GSU 2 UTC DUT 6.5 Cor5 6.0 Cor7 6.2 F
267 Etu268 GB 4 UTC LICENCE 11.0 Cor2 11.5 Cor3 11.3 E
268 Etu269 GB 1 UTC BAC 13.5 Cor6 19.0 Cor4 16.8 A
269 Etu270 GI 2 UTC DUT 14.0 Cor4 11.0 Cor6 12.2 D
270 Etu271 GP 2 UTC DUT 10.0 Cor1 10.0 Cor1 10.0 E
271 Etu272 GI 1 UTC BAC 17.5 Cor5 11.0 Cor7 13.6 C
272 Etu273 GB 4 UTC CPGE 4.0 Cor7 4.0 Cor8 4.0 F
273 Etu274 GB 1 UTC BAC 10.0 Cor4 10.5 Cor6 10.3 E
274 Etu275 GSU 2 UTC CPGE 11.5 Cor6 15.5 Cor4 13.9 C
275 Etu276 GB 2 UTC DUT 9.0 Cor4 14.0 Cor6 12.0 D
276 Etu277 GM 2 UTC CPGE 5.0 Cor7 13.5 Cor8 10.1 E
277 Etu278 GI 2 UTC DUT 12.0 Cor4 13.5 Cor5 12.9 D
278 Etu279 GB 2 UTC LICENCE 5.5 Cor1 9.0 Cor1 7.6 F
279 Etu280 TC 4 UTC BAC 16.0 Cor6 18.0 Cor4 17.2 A
280 Etu281 GM 4 UTC DUT 5.5 Cor1 6.0 Cor1 5.8 F
281 Etu282 ISS 2 UTC "ETRANGER SUPERIEUR" 12.0 Cor6 5.0 Cor4 7.8 F
282 Etu283 GSM 4 UTC DUT 14.0 Cor8 9.5 Cor5 11.3 E
283 Etu284 GI 1 UTC BAC 5.0 Cor8 14.0 Cor5 10.4 E
284 Etu285 GSM 4 UTC CPGE 14.0 Cor2 16.5 Cor3 15.5 B
285 Etu286 GP 2 UTC CPGE 16.0 Cor2 10.0 Cor3 12.4 D
286 Etu287 GM 4 UTC BAC 11.5 Cor2 13.0 Cor3 12.4 D
287 Etu288 GB 2 UTC DUT 12.0 Cor7 16.5 Cor6 14.7 C
288 Etu289 GSM 2 UTC BTS 6.5 Cor5 17.0 Cor7 12.8 D
289 Etu290 GI 4 UTC DUT 6.0 Cor7 4.0 Cor6 4.8 F
290 Etu291 GB 2 UTC CPGE 13.5 Cor5 9.5 Cor7 11.1 E
291 Etu292 GB 2 UTC BTS 8.5 Cor5 9.0 Cor7 8.8 Fx
292 Etu293 GB 2 UTC BAC 13.5 Cor4 18.0 Cor6 16.2 B
293 Etu294 GSU 2 UTC BAC 12.0 Cor5 15.0 Cor7 13.8 C
294 Etu295 GSU 2 UTC DUT 12.0 Cor6 18.0 Cor7 15.6 B
295 Etu296 GSU 4 UTC BAC 9.5 Cor5 10.5 Cor7 10.1 E
